file,area_ratio
5603.png,0.158468574108818
327.png,0.13434895833333332
3847.png,0.04222378277153558
5585.png,0.07286506746626686
3784.png,0.08278301335949177
3628.png,0.552275
2194.png,0.044451851851851854
5374.png,0.08740932818114026
789.png,0.041415694818232304
3462.png,0.17229378531073447
5907.png,0.39089930521577454
254.png,0.29244583333333335
3305.png,0.06275375375375375
4256.png,0.08678024691358024
2316.png,0.22596491228070176
975.png,0.10407894351556324
1754.png,0.10701170738801628
3871.png,0.19298555377207063
1526.png,0.17095802919708028
5455.png,0.3593292459736457
546.png,0.06844087435944363
4373.png,0.03903333333333334
1172.png,0.2781015034536161
388.png,0.2685517568850902
3983.png,0.03983644111239267
4413.png,0.024184194711538463
1998.png,0.07428571428571429
1077.png,0.13345130237825595
2375.png,0.49748694316436254
1920.png,0.06287175146412885
2487.png,0.17050724141081872
5630.png,0.30885500617529466
4485.png,0.030654936461388074
3534.png,0.01634756455399061
4328.png,0.21228827771256079
241.png,0.016847059461805557
5425.png,0.05678819394722953
4658.png,0.12389638258736971
1529.png,0.025954506832332743
3050.png,0.20658536585365853
125.png,0.18677606177606176
346.png,0.08472592592592593
437.png,0.10524309392265194
5024.png,0.0032114624505928855
2795.png,0.18468436154949786
43.png,0.08331886574074074
3178.png,0.11546343001261034
2245.png,0.3086210131332083
2242.png,0.13897741147741147
1686.png,0.10051948051948052
1836.png,0.1838573021181717
2975.png,0.23313286454478163
1729.png,0.11025143262464301
5648.png,0.10500234521575985
253.png,0.08945627058931185
2383.png,0.05457160567381008
2246.png,0.11808294540837917
3482.png,0.08818480300187617
1760.png,0.10779519331243469
1687.png,0.16012592592592592
4647.png,0.06395626242544732
2886.png,0.10412229877857813
2821.png,0.30354596622889307
1112.png,0.0979947403024326
4029.png,0.12820231756968367
5945.png,0.5257032554257095
1411.png,0.2299277573963889
2188.png,0.14744495938195298
3460.png,0.36971354166666665
761.png,0.0644843016431925
521.png,0.006691853364852415
931.png,0.09322544642857143
4623.png,0.05495754470109439
5259.png,0.2263
5916.png,0.3322027149321267
410.png,0.38751488095238096
827.png,0.06208722741433022
1307.png,0.04405356914007433
4449.png,0.2706485057231326
4667.png,0.09780104712041884
5490.png,0.061251441753171855
2820.png,0.1556962822936358
1190.png,0.26915833333333333
80.png,0.12440525737069807
778.png,0.08036892361111111
796.png,0.07240830838323353
3136.png,0.15062872023809523
4849.png,0.05352455821205821
5162.png,0.016619745283922245
5273.png,0.07008314220183487
570.png,0.1941174671153258
3687.png,0.032113606239608954
4376.png,0.014217609489051096
2377.png,0.08865
1438.png,0.2030125
1804.png,0.1201922561700942
3225.png,0.3091039156626506
4034.png,0.0781063503689236
1059.png,0.2748251488095238
2690.png,0.1572381422924901
1157.png,0.003203781512605042
3852.png,0.2596035977224096
2867.png,0.11999216300940439
2240.png,0.04752358318631811
1935.png,0.08985694183864916
2650.png,0.1381194424099093
812.png,0.0265807962529274
4025.png,0.19666666666666666
3587.png,0.19397268285860503
3220.png,0.145312
1590.png,0.44568523575034813
4796.png,0.12588451586545008
1712.png,0.1763317281295754
3866.png,0.09534305167597765
2745.png,0.07670764617691155
3176.png,0.13417249417249416
3671.png,0.09772184936614467
1616.png,0.2077314814814815
3553.png,0.028458021612635078
486.png,0.39526037854229845
1433.png,0.17639933166248956
4700.png,0.34658551897321427
2313.png,0.23191899070385127
1533.png,0.1142301245210728
5657.png,0.32804626865671643
394.png,0.040627885503231764
